new_city,old_city,new_region,old_region,new_country,old_country
Beijing,Beijing,, Beijing,China,China
Guangzhou,Guangzhou,, Guangdong,China,China
Beijing,Haidian,, Beijing,China,China
Shanghai,Jingan,, Shanghai,China,China
Nanjing,Nanjing,, Jiangsu,China,China
Shanghai,Shanghai,, Shanghai,China,China
Shenzhen,Shenzhen,, Guangdong,China,China
Suzhou,Suzhou,, Jiangsu,China,China
Ahmedabad,Ahmadabad,, Gujarat,India,India
Ahmedabad,Ahmedabad,, Gujarat,India,India
Bengaluru,Bangalore,, Karnataka,India,India
Bengaluru,Bengaluru,, Karnataka,India,India
Chennai,Chennai,, Tamil Nadu,India,India
Deesa,Deesa,, Gujarat,India,India
NCR,Delhi,, Delhi,India,India
no city,Goa,, Goa,India,India
NCR,Gurgaon,, Haryana,India,India
Jaipur,Jaipur,, Rajasthan,India,India
Kolkata,Kolkata,, West Bengal,India,India
Mumbai,Mumbai,, Maharashtra,India,India
Mysuru,Mysuru,, Karnataka,India,India
NCR,New Delhi,, Delhi,India,India
NCR,Noida,, Uttar Pradesh,India,India
Pune,Pune,, Maharashtra,India,India
Tiruppur,Tirupur,, Tamil Nadu,India,India
Jakarta,Jakarta,, Jakarta Raya,Indonesia,Indonesia
Singapore,Singapore,, Central Region,Singapore,Singapore
Ho Chi Minh City,Ho Chi Minh City,, NA - Vietnam,Vietnam,Vietnam
,Japan,, Jawa Tengah,,Indonesia
Anji,Anji,, Fujian,China,China
Anqing,Anqing,, Anhui,China,China
Anyang,Anyang,, Henan,China,China
Shenzhen,Baoan,, Guangdong,China,China
Baoding,Baoding,, Hebei,China,China
Baotou,Baotou,, Nei Mongol,China,China
Beijing,Beijin,, Guangdong,China,China
Beijing,Beijing Shi,, Beijing,China,China
Hangzhou,Beixingqiao,, Hunan,China,China
Cangshan,Cangshan,, Shandong,China,China
Changchun,Changchun,, Jilin,China,China
Shanghai,Changning,, Shanghai,China,China
Beijing,Changping,, Beijing,China,China
Changsha,Changsha,, Jiangsu,China,China
Changsha,Changshahsien,, Hunan,China,China
Beijing,Changyang,, Beijing,China,China
Changzhi,Changzhi,, Shanxi,China,China
Beijing,Chaoyang,, Liaoning,China,China
Chengdu,Chengdu,, Sichuan,China,China
Chongqing,Chongqing,, Heilongjiang,China,China
Zhenjiang,Danyang,, Jiangsu,China,China
Beijing,Daxing,, Beijing,China,China
Dongguan,Dongguan,, Hebei,China,China
Dongguan,Dongguang,, Guangdong,China,China
Beijing,Fengtai,, Beijing,China,China
Fuzhou,Foochow,, Fujian,China,China
Foshan,Foshan,, Guangdong,China,China
Fuzhou,Fuchou,, Fujian,China,China
Fuzhou,Fuhou,, Fujian,China,China
Shenzhen,Futian,, Guangdong,China,China
Fuzhou,Fuzhou,, Jiangxi,China,China
Gaoxin,Gaoxin,, Guangdong,China,China
,Guangdong,, Jilin,China,China
Guangzhou,Guanzhou,, Guangdong,China,China
Haikou,Haikou,, Hainan,China,China
Hainan,Hainan,, Hainan,China,China
Hangzhou,Hangzhou,, Zhejiang,China,China
Hebi,Hebi,, Henan,China,China
Hefei,Hefei,, Anhui,China,China
,Henan,, Shanxi,China,China
Shanghai,Hongkou,, Shanghai,China,China
Shanghai,Huangpu,, Guangdong,China,China
Shanghai,Huangpu,, Shanghai,China,China
Huawei,Huawei,, Anhui,China,China
Shanghai,Jiading,, Shanghai,China,China
,Jiangxi,, Fujian,China,China
Taizhou,Jiaojiang,, Zhejiang,China,China
Jiaxing,Jiaxing,, Zhejiang,China,China
Jinan,Jinan,, Shandong,China,China
Jingxing,Jingxing,, Hebei,China,China
Jinhua,Jinhua,, Zhejiang,China,China
Kunming,Kunming,, Yunnan,China,China
Lhassa,Lhasa,, Xizang,China,China
Lianyungang,Lianyungang,, Jiangsu,China,China
Linyi,Linyi,, Shandong,China,China
Shenzhen,Longgang,, Guangdong,China,China
Shenzhen,Longhua,, Guangdong,China,China
Shijiazhuang,Luquan,, Hebei,China,China
Meizhou,Meizhou,, Guangdong,China,China
Shanghai,Minhang,, Shanghai,China,China
Chongqing,Nanan,, Chongqing,China,China
Nangang,Nangang,, Guangdong,China,China
Shenzhen,Nanshanqu,, Guangdong,China,China
Nanyang,Nanyang,, Guangdong,China,China
Ningbo,Ningbo,, Zhejiang,China,China
Pingxiang,Pingxiang,, Hebei,China,China
Shanghai,Pudong,, Shandong,China,China
Shanghai,Putuo,, Shanghai,China,China
Qingdao,Qingdao Shi,, Shandong,China,China
Shanghai,Qingpu,, Shanghai,China,China
,Shandong,, Fujian,China,China
Shaoxing,Shaoxing,, Zhejiang,China,China
Shenzhen,Shekou,, Guangdong,China,China
Shenyang,Shenyang,, Liaoning,China,China
Shijiazhuang,Shijiazhuang,, Hebei,China,China
Qingdao,Shinan,, Guangdong,China,China
Zhongshan,Shiqi,, Guangdong,China,China
Shanghai,Songjiang,, Shanghai,China,China
Suite,Suite,, Shaanxi,China,China
,Taiwan,, Jiangsu,China,China
Taiyuan,Taiyuan,, Shanxi,China,China
Tianjin,Tanggu,, Tianjin,China,China
Tianhe,Tianhe,, Hubei,China,China
Tianjin,Tianjin,, Guangdong,China,China
Ürümqi,Ürümqi,, Xinjiang,China,China
Hong Kong,Wanchai,, Guangdong,China,China
Wuhan,Wuhan,, Hubei,China,China
Wuhan,Wuhan Shi,, Hubei,China,China
Tianjin,Wuqing,, Tianjin,China,China
Wuxi,Wuxi Shi,, Jiangsu,China,China
Xiamen,Xiamen,, Fujian,China,China
Xiamen,Xiamen,, Zhejiang,China,China
Xian,Xian,, Hunan,China,China
Xian,Xian Shi,, Shaanxi,China,China
Zhuhai,Xiangzhou,, Guangdong,China,China
Hangzhou,Xiaoshan,, Zhejiang,China,China
,Xinjiang,, Shanxi,China,China
Maoming,Xinyi,, Guangdong,China,China
Xinyu,Xinyu,, Jiangxi,China,China
Xuancheng,Xuancheng,, Anhui,China,China
Shanghai,Xuhui,, Shanghai,China,China
Yanchuan,Yanchuan,, Fujian,China,China
Yangping,Yangping,, Fujian,China,China
Zhengjiang,Yangzhou,, Jiangsu,China,China
Ningbo,Yinzhou,, Zhejiang,China,China
