iso2,iso3
US,USA
GB,GBR
IN,IND
IT,ITA
CA,CAN
BR,BRA
FR,FRA
DE,DEU
ES,ESP
AU,AUS
JP,JPN
CN,CHN
NL,NLD
MX,MEX
CH,CHE
BE,BEL
SE,SWE
KR,KOR
AE,ARE
SG,SGP
IL,ISR
PT,PRT
DK,DNK
IE,IRL
GR,GRC
ZA,ZAF
ID,IDN
NZ,NZL
HK,HKG
PL,POL
NO,NOR
TR,TUR
AR,ARG
CZ,CZE
CO,COL
MY,MYS
HU,HUN
RU,RUS
FI,FIN
NG,NGA
AT,AUT
CL,CHL
VN,VNM
PH,PHL
RO,ROM
TH,THA
UA,UKR
KE,KEN
EG,EGY
PK,PAK
TW,TWN
SA,SAU
PE,PER
SK,SVK
LB,LBN
BG,BGR
LT,LTU
RS,SRB
LK,LKA
BD,BGD
GH,GHA
HR,HRV
UG,UGA
EC,ECU
IS,ISL
EE,EST
MA,MAR
LV,LVA
SI,SVN
LU,LUX
JO,JOR
CR,CRI
TT,TTO
PR,PRI
TZ,TAN
KW,KWT
CY,CYP
ET,ETH
UY,URY
GT,GTM
IR,IRN
MU,MUS
PA,PAN
ZM,ZMB
TN,TUN
ZW,ZWE
JM,JAM
AZ,AZE
CI,CIV
OM,OMN
VE,VEN
DO,DOM
MM,MMR
QA,QAT
NI,NIC
KH,KHM
RW,RWA
GE,GEO
SN,SEN
BH,BHR
KZ,KAZ
CM,CMR
MK,MKD
MT,MLT
SV,SLV
PY,PRY
AL,ALB
BO,BOL
BA,BIH
MD,MDA
NP,NPL
BY,BLR
KY,CYM
HN,HND
MG,MDG
ML,MLI
MW,MWI
BS,BAH
DZ,DZA
MZ,MOZ
AM,ARM
BB,BRB
BJ,BEN
IQ,IRQ
JE,JEY
BF,BFA
MV,MDV
AO,AGO
CD,COD
IM,IMN
MN,MNG
NA,NAM
UZ,UZB
BM,BMU
GG,GGY
PS,PSE
BZ,BLZ
BW,BWA
PG,PNG
SL,SLE
SO,SOM
LA,LAO
LS,LSO
FJ,FJI
GD,GRD
GY,GUY
LY,LBY
GM,GMB
LI,LIE
LR,LBR
AW,ABW
AF,AFG
BN,BRN
CU,CUB
FO,FRO
GL,GRL
ME,MNE
NE,NER
CV,CPV
HT,HTI
MO,MAC
SZ,SWZ
AD,AND
AS,ASM
AG,ATG
DM,DMA
GN,GIN
KN,KNA
NC,NCL
SD,SDN
TC,TCA
TM,TKM
BI,BDI
BT,BTN
CG,COG
KG,KGZ
SY,SYR
DJ,DJI
GU,GUM
PF,PYF
SJ,SJM
SM,SMR
SC,SYC
TD,TCD
EH,ESH
GA,GAB
GI,GIB
LC,LCA
MQ,MTQ
RE,REU
SB,SLB
PM,SPM
SR,SUR
TG,TGO
TJ,TJK
YE,YEM
