ISO,old_city,country,Coords,long_mapped,lat_mapped,city_mapped
ALB,"tiran, islamic rep. ofa",albania,MISSING_VAL,19.819025,41.327953,Tirana
ALB,lushnjë,albania,MISSING_VAL,19.705,40.94194,lushnjë
ALB,shkodër,albania,MISSING_VAL,19.51258,42.06828,shkodër
ARE,deira,united arab emirates,MISSING_VAL,55.30927,25.07725,Dubai
ARE,jumairah,united arab emirates,MISSING_VAL,55.2453,25.2016,jumairah
ARG,chacarita,argentina,MISSING_VAL,-58.37723,-34.61315,Buenos Aires
ARG,independencia,argentina,MISSING_VAL,-58.37723,-34.61315,Buenos Aires
ARG,marquesado,argentina,MISSING_VAL,-58.37723,-34.61315,Buenos Aires
ARG,martínez,argentina,MISSING_VAL,-58.37723,-34.61315,Buenos Aires
ARG,puerto madero,argentina,MISSING_VAL,-58.37723,-34.61315,Buenos Aires
ARG,velez sarsfield,argentina,MISSING_VAL,-58.37723,-34.61315,Buenos Aires
AUS,barongarook,australia,MISSING_VAL,143.5844382,-38.3400445,Colac
AUS,ardmona,australia,MISSING_VAL,145.3986,-36.38047,Greater Shepparton
AUS,australian capital territory,australia,MISSING_VAL,149.12807,-35.28346,Canberra
AUS,banksmeadow,australia,MISSING_VAL,151.20732,-33.86785,Sydney
AUS,beerburrum,australia,MISSING_VAL,152.9572498,-26.9573574,beerburrum
AUS,bellbrae,australia,MISSING_VAL,143.997678,-38.312818,Surf Coast
AUS,berringa,australia,MISSING_VAL,143.68216,-37.7936,berringa
AUS,clayton north,australia,MISSING_VAL,144.96332,-37.814,Melbourne
AUS,conondale,australia,MISSING_VAL,152.717,-26.733,conondale
AUS,cottonvale,australia,MISSING_VAL,151.9538359,-28.5212849,cottonvale
AUS,dunmore,australia,MISSING_VAL,150.867,-34.583,Shellharbour City
AUS,frances,australia,MISSING_VAL,140.967,-36.717,frances
AUS,garra,australia,MISSING_VAL,148.82694,-33.11076,Cabonnne
AUS,gindie,australia,MISSING_VAL,148.171657,-23.72889,gindie
AUS,glenrowan,australia,MISSING_VAL,150.65,-35.1,glenrowan
AUS,jung,australia,MISSING_VAL,142.199997,-36.716667,jung
